ghi_kt_20min,ghi_clear_20min,ghi_20min
1.2,81.599285,118.22
1.2,94.41998,129.88
1.2,107.442565,143.86
1.2,120.585989,156.8
1.2,133.78415,169.88
1.2,146.982563,186.78
1.2,160.135837,201.4
1.155579,173.205728,200.1
1.125323,186.159667,209.36
1.183757,198.969622,239.04
1.172876,211.611222,248.16
1.2,224.063079,272.64
1.180609,236.306253,283.12
1.114912,248.323841,276.96
1.066931,260.100633,277.2
0.988799,271.622863,268.6
1.00025,282.877983,282.76
0.96025,293.854503,282.28
1.16795,304.541849,355.66
1.111314,314.930244,349.88
1.036665,325.010626,336.88
1.005559,334.774561,336.56
0.943376,344.214188,324.72
1.017478,353.322161,359.6
1.076796,362.091609,389.96
1.05013,370.516097,388.94
1.057423,378.589595,400.44
1.087336,386.306454,420.04
1.077727,393.661383,424.26
1.027772,400.649432,411.74
0.997926,407.265971,406.42
1.01374,413.506685,419.2
1.006469,419.367554,422.12
1.046359,424.844853,444.54
1.062239,429.935133,456.7
1.063883,434.635221,462.4
1.0621,438.942213,466.2
1.061344,442.853468,470.02
1.058369,446.366604,472.42
1.045974,449.479492,470.14
1.052923,452.190258,476.12
1.050919,454.497276,477.64
1.052675,456.399166,480.44
1.054521,457.894797,482.86
1.050977,458.983278,482.38
1.039106,459.663966,477.64
1.049623,459.936455,482.76
1.048802,459.800585,482.24
1.029709,459.256436,472.9
1.056683,458.304329,484.28
1.0649,456.944831,486.6
1.065691,455.178747,485.08
1.064043,453.007128,482.02
1.062189,450.431271,478.44
1.081552,447.452719,483.94
1.079549,444.073262,479.4
1.080463,440.294944,475.72
1.070553,436.120061,466.88
1.046375,431.551166,451.58
0.991188,426.591078,422.88
0.897335,421.242876,377.98
1.072267,415.509916,445.52
1.060505,409.39583,434.16
1.079861,402.90454,435.08
1.085856,396.04026,430.02
1.089664,388.807513,423.7
1.102065,381.211141,420.1
1.060603,373.256318,395.9
1.116801,364.948573,407.5
1.1429,356.293804,407.22
1.092557,347.29831,379.46
0.987857,337.96881,334.06
0.939097,328.312489,308.42
0.974349,318.337031,310.08
1.097436,308.050669,337.94
1.089917,297.462252,326.52
1.175919,286.581306,337.84
1.115216,275.418128,307.32
0.986002,263.983889,260.54
0.851298,252.290766,214.48
0.989365,240.352097,237.68
1.154616,228.182582,274.5
1.2,215.798527,280.4
1.2,203.218148,269.54
1.2,190.461964,262.02
1.2,177.553279,250.42
1.2,164.518818,237.74
1.2,151.389516,224.6
1.2,138.201578,197.66
1.2,124.997813,181.64
1.2,111.829414,163.24
1.180266,98.758271,144.62
1.181651,85.860134,119.24
0.708631,73.22851,52.354
0.796789,60.978569,48.028
0.874465,49.255879,43.594
0.797957,38.241439,27.054
1.2,28.158595,25.946
1.2,19.274431,25.052
1.2,11.886258,22.298
1.2,81.615539,115.4
1.2,94.463532,126.92
1.2,107.515242,138.94
1.2,120.689293,152.06
1.2,133.919337,165.18
1.2,147.150701,178.72
1.196401,160.337849,191.92
1.18284,173.442421,205.14
1.166835,186.431757,217.52
1.153729,199.277748,229.9
1.142269,211.955961,242.1
1.131639,224.444956,253.98
1.122098,236.725746,265.62
1.112659,248.781387,276.8
1.104721,260.596633,287.88
1.097843,272.157685,298.78
1.092615,283.451965,309.7
1.086518,294.467955,319.94
1.08128,305.195053,330.0
1.079401,315.623457,340.68
1.075401,325.744079,350.3
1.071212,335.548463,359.44
1.067218,345.028723,368.22
1.063256,354.17749,376.58
1.063725,362.987872,386.12
1.062262,371.453408,394.58
1.060523,379.56805,402.54
1.059679,387.326125,410.44
1.056897,394.72232,417.18
1.056027,401.751663,424.26
1.054778,408.409503,430.78
1.053361,414.691503,436.82
1.053653,420.593622,443.16
1.05259,426.112112,448.52
1.05073,431.243503,453.12
1.050131,435.984601,457.84
1.0483,440.332481,461.6
1.047438,444.284478,465.36
1.047209,447.838188,468.98
1.046939,450.991464,472.16
1.04588,453.742407,474.56
1.045541,456.089369,476.86
1.045563,458.03095,478.9
1.04516,459.565996,480.32
1.045814,460.693595,481.8
1.045614,461.413079,482.46
1.04491,461.724022,482.46
1.045131,461.626241,482.46
1.045108,461.119793,481.92
1.044839,460.204978,480.84
1.045846,458.882337,479.92
1.045427,457.152653,477.92
1.045675,455.016955,475.8
1.047216,452.476513,473.84
1.048423,449.532847,471.3
1.04911,446.187724,468.1
1.05053,442.443159,464.8
1.051972,438.301425,461.08
1.052,433.765048,456.32
1.054855,428.836817,452.36
1.056622,423.519784,447.5
1.057501,417.817277,441.84
1.060398,411.732895,436.6
1.061462,405.270527,430.18
1.06256,398.434354,423.36
1.06378,391.228861,416.18
1.066156,383.658852,409.04
1.067741,375.729459,401.18
1.07178,367.446166,393.82
1.075044,358.814822,385.74
1.07769,349.841671,377.02
1.081492,340.533373,368.28
1.086752,330.897047,359.6
1.088427,320.940303,349.32
1.093138,310.671291,339.6
1.099059,300.098765,329.82
1.105144,289.23214,319.64
1.108485,278.081593,308.24
1.113946,266.658147,297.04
1.120488,254.97381,285.68
1.131608,243.04172,275.02
1.140584,230.87634,263.32
1.152749,218.493694,251.86
1.163601,205.911656,239.58
1.179291,193.150331,227.76
1.197395,180.232514,216.66
1.2,167.184306,205.4
1.2,154.035866,192.0
1.2,140.822424,178.98
1.2,127.585562,166.04
1.2,114.374911,153.58
1.2,101.250369,159.54
1.2,88.284954,141.86
1.2,75.568624,118.82
1.2,63.213536,126.12
1.175715,51.359237,82.844
0.963026,40.180336,38.68
1.2,29.893031,33.3
1.2,20.757935,23.51
1.2,13.070267,25.346
1.2,7.119475,26.548
1.2,81.737014,120.6
1.2,94.616205,131.14
1.2,107.700328,144.06
1.2,120.907799,159.54
1.2,134.172117,171.44
1.2,147.438492,184.7
1.2,160.6613,197.8
1.2,173.802109,210.12
1.195606,186.828204,223.36
1.172324,199.711428,234.1
1.160814,212.42731,246.58
1.150584,224.954374,258.82
1.14042,237.273602,270.58
1.126592,249.368023,280.92
1.120726,261.222366,292.76
1.117289,272.822807,304.82
1.113835,284.156744,316.5
1.109179,295.212639,327.44
1.108138,305.979865,339.06
1.100983,316.448601,348.4
1.096357,326.609739,358.08
1.095909,336.454799,368.72
1.092965,345.975878,378.14
1.091385,355.165584,387.62
1.090497,364.017004,396.96
1.087826,372.52366,405.24
1.084749,380.679479,412.94
1.082585,388.478771,420.56
1.081798,395.916201,428.3
1.078153,402.986777,434.48
1.076924,409.685827,441.2
1.074353,416.008993,446.94
1.072161,421.952214,452.4
1.074022,427.51172,459.16
1.0758,432.684021,465.48
1.075558,437.465901,470.52
1.072301,441.854415,473.8
1.074582,445.846877,479.1
1.07578,449.440863,483.5
1.073934,452.634202,486.1
1.075656,455.424975,489.88
1.076425,457.811513,492.8
1.077312,459.792394,495.34
1.077928,461.366442,497.32
1.077416,462.532725,498.34
1.079107,463.290551,499.94
1.079287,463.639474,500.4
1.0796,463.579288,500.48
1.07875,463.110027,499.58
1.076733,462.23197,497.7
1.078826,460.945634,497.28
1.080148,459.25178,496.06
1.077065,457.151413,492.38
1.082208,454.64578,492.02
1.080894,451.736377,488.28
1.083573,448.424945,485.9
1.0869,444.713476,483.36
1.088057,440.604216,479.4
1.089521,436.099665,475.14
1.093412,431.202584,471.48
1.09595,425.915999,466.78
1.097557,420.243204,461.24
1.099892,414.187773,455.56
1.102535,407.753558,449.56
1.106541,400.944708,443.66
1.107413,393.765672,436.06
1.108642,386.221214,428.18
1.112783,378.316426,420.98
1.115837,370.056745,412.92
1.119338,361.447973,404.58
1.122113,352.496298,395.54
1.123813,343.208324,385.7
1.126291,333.591102,375.72
1.128754,323.652167,365.32
1.135182,313.399589,355.76
1.13982,302.842025,345.18
1.144712,291.988785,334.24
1.151889,280.849918,323.5
1.160229,269.436305,312.6
1.169583,257.759786,301.46
1.181582,245.8333,290.46
1.194288,233.671074,279.06
1.2,221.288851,267.54
1.2,208.704167,255.6
1.2,195.936717,243.26
1.2,183.008793,230.52
1.2,169.945878,218.18
1.2,156.777366,205.96
1.2,143.537523,193.32
1.2,130.266724,180.34
1.2,117.013065,167.06
1.2,103.83448,164.8
1.2,90.801291,155.7
1.2,77.999939,129.6
1.2,65.539705,136.7
1.2,53.554128,105.294
1.123984,42.211436,47.7
1.195908,31.720556,39.56
1.2,22.335129,28.654
1.2,14.347002,29.984
1.2,8.053022,30.64
1.2,81.964433,108.86
1.2,94.878714,121.42
1.2,107.998521,134.98
1.2,121.242183,149.78
1.2,134.543137,164.04
1.199748,147.846553,178.12
1.190312,161.106772,191.76
1.180352,174.28534,205.7
1.165819,187.349517,218.4
1.154696,200.271133,231.24
1.142087,213.025698,243.28
1.130396,225.59172,255.0
1.119634,237.950168,266.4
1.107667,250.084054,277.0
1.099358,261.978092,288.0
1.095176,273.618443,299.66
1.091276,284.992491,311.0
1.086365,296.088679,321.66
1.085717,306.896365,333.2
1.079906,317.405712,342.76
1.072817,327.607593,351.46
1.069656,337.493512,361.0
1.071531,347.055548,371.88
1.070146,356.286291,381.28
1.06732,365.17881,389.76
1.066453,373.726608,398.56
1.06299,381.923593,405.98
1.064438,389.764057,414.88
1.063987,397.242645,422.66
1.059861,404.354345,428.56
1.058691,411.094466,435.22
1.056348,417.458632,440.98
1.054785,423.442759,446.64
1.053604,429.04306,452.04
1.051316,434.256024,456.54
1.052108,439.078414,461.96
1.052296,443.507265,466.7
1.050501,447.539871,470.14
1.050153,451.173786,473.8
1.047563,454.406819,476.02
1.048823,457.237031,479.56
1.048638,459.662732,482.02
1.048384,461.682479,484.02
1.048446,463.295074,485.74
1.048956,464.499564,487.24
1.046605,465.295236,486.98
1.048227,465.681623,488.14
1.047892,465.658496,487.96
1.04646,465.225868,486.84
1.050553,464.383995,487.86
1.05486,463.133373,488.54
1.054834,461.47474,486.78
1.053309,459.409078,483.9
